_id,FinancialYear,HBR,HBRQF,AgeGroup,Sex,Dataset,DatasetQF,DischargeCount,DischargeCountQF,DischargeRates,DischargeRatesQF,PatientsCount,PatientCountQF,PatientsRates,PatientRatesQF
174,2014/15,S92000003,d,18-24 years,Female,Total,d,1060, ,428.26, ,670, ,270.7, 
175,2014/15,S92000003,d,25-39 years,Male,Total,d,4950, ,990.79, ,2930, ,586.47, 
176,2014/15,S92000003,d,25-39 years,Female,Total,d,2970, ,574.92, ,1810, ,350.37, 
177,2014/15,S92000003,d,40-64 years,Male,Total,d,9090, ,1018.24, ,5240, ,586.97, 
178,2014/15,S92000003,d,40-64 years,Female,Total,d,5960, ,633.4, ,3590, ,381.53, 
179,2014/15,S92000003,d,65plus years,Male,Total,d,5850, ,1370.1, ,3360, ,786.93, 
180,2014/15,S92000003,d,65plus years,Female,Total,d,7530, ,1390.65, ,4290, ,792.28, 
181,2015/16,S92000003,d,0-17 years,Male,Total,d,420, ,79.63, ,330, ,62.57, 
182,2015/16,S92000003,d,0-17 years,Female,Total,d,520, ,103.24, ,370, ,73.46, 
183,2015/16,S92000003,d,18-24 years,Male,Total,d,1330, ,534.49, ,900, ,361.68, 
184,2015/16,S92000003,d,18-24 years,Female,Total,d,1060, ,428.47, ,680, ,274.87, 
185,2015/16,S92000003,d,25-39 years,Male,Total,d,5020, ,987.69, ,2960, ,582.38, 
186,2015/16,S92000003,d,25-39 years,Female,Total,d,3110, ,593.89, ,1850, ,353.28, 
187,2015/16,S92000003,d,40-64 years,Male,Total,d,9870, ,1108.66, ,5420, ,608.81, 
188,2015/16,S92000003,d,40-64 years,Female,Total,d,6400, ,680.5, ,3600, ,382.78, 
189,2015/16,S92000003,d,65plus years,Male,Total,d,6700, ,1537.82, ,3640, ,835.47, 
190,2015/16,S92000003,d,65plus years,Female,Total,d,7990, ,1459.85, ,4340, ,792.96, 
191,2016/17,S92000003,d,0-17 years,Male,Total,d,420, ,79.55, ,330, ,62.5, 
192,2016/17,S92000003,d,0-17 years,Female,Total,d,530, ,105.2, ,400, ,79.4, 
193,2016/17,S92000003,d,18-24 years,Male,Total,d,1380, ,559.78, ,910, ,369.13, 
194,2016/17,S92000003,d,18-24 years,Female,Total,d,1060, ,432.98, ,690, ,281.84, 
195,2016/17,S92000003,d,25-39 years,Male,Total,d,5430, ,1044.79, ,3040, ,584.93, 
196,2016/17,S92000003,d,25-39 years,Female,Total,d,3430, ,642.24, ,1960, ,366.99, 
197,2016/17,S92000003,d,40-64 years,Male,Total,d,10020, ,1127.21, ,5350, ,601.85, 
198,2016/17,S92000003,d,40-64 years,Female,Total,d,6530, ,694.66, ,3690, ,392.54, 
199,2016/17,S92000003,d,65plus years,Male,Total,d,7070, ,1591.07, ,3690, ,830.42, 
200,2016/17,S92000003,d,65plus years,Female,Total,d,8510, ,1534.73, ,4410, ,795.32, 
201,2017/18,S92000003,d,0-17 years,Male,Total,d,470, ,89.08, ,360, ,68.23, 
202,2017/18,S92000003,d,0-17 years,Female,Total,d,540, ,107.47, ,400, ,79.61, 
203,2017/18,S92000003,d,18-24 years,Male,Total,d,1370, ,564.89, ,880, ,362.85, 
204,2017/18,S92000003,d,18-24 years,Female,Total,d,1170, ,491.14, ,710, ,298.04, 
205,2017/18,S92000003,d,25-39 years,Male,Total,d,5390, ,1014.89, ,3030, ,570.52, 
206,2017/18,S92000003,d,25-39 years,Female,Total,d,3400, ,623.52, ,1970, ,361.28, 
207,2017/18,S92000003,d,40-64 years,Male,Total,d,10210, ,1151.26, ,5360, ,604.38, 
208,2017/18,S92000003,d,40-64 years,Female,Total,d,6420, ,684.29, ,3560, ,379.45, 
209,2017/18,S92000003,d,65plus years,Male,Total,d,7940, ,1755.78, ,3950, ,873.47, 
210,2017/18,S92000003,d,65plus years,Female,Total,d,9860, ,1759.63, ,4760, ,849.48, 
211,2018/19,S92000003,d,0-17 years,Male,Total,d,450, ,85.41, ,340, ,64.53, 
