_id,FinancialYear,HBT,HBTQF,Dataset,DatasetQF,LengthOfStay,NumberOfStays
181,1997/98,S08000026, ,SMR01, ,< 1 day,40
182,1997/98,S08000026, ,SMR01, ,1 - 7 days,60
183,1997/98,S08000026, ,SMR01, ,8 - 28 days,10
184,1997/98,S08000026, ,SMR01, ,29 days - 6 months,10
185,1997/98,S08000026, ,SMR01, ,> 6 months,0
186,1997/98,S08000026, ,SMR04, ,< 1 day,0
187,1997/98,S08000026, ,SMR04, ,1 - 7 days,0
188,1997/98,S08000026, ,SMR04, ,8 - 28 days,0
189,1997/98,S08000026, ,SMR04, ,29 days - 6 months,0
190,1997/98,S08000026, ,SMR04, ,> 6 months,0
191,1997/98,S08000026, ,Total,d,< 1 day,40
192,1997/98,S08000026, ,Total,d,1 - 7 days,60
193,1997/98,S08000026, ,Total,d,8 - 28 days,10
194,1997/98,S08000026, ,Total,d,29 days - 6 months,10
195,1997/98,S08000026, ,Total,d,> 6 months,0
196,1997/98,S08000030, ,SMR01, ,< 1 day,140
197,1997/98,S08000030, ,SMR01, ,1 - 7 days,280
198,1997/98,S08000030, ,SMR01, ,8 - 28 days,150
199,1997/98,S08000030, ,SMR01, ,29 days - 6 months,90
200,1997/98,S08000030, ,SMR01, ,> 6 months,10
201,1997/98,S08000030, ,SMR04, ,< 1 day,70
202,1997/98,S08000030, ,SMR04, ,1 - 7 days,640
203,1997/98,S08000030, ,SMR04, ,8 - 28 days,980
204,1997/98,S08000030, ,SMR04, ,29 days - 6 months,790
205,1997/98,S08000030, ,SMR04, ,> 6 months,200
206,1997/98,S08000030, ,Total,d,< 1 day,210
207,1997/98,S08000030, ,Total,d,1 - 7 days,910
208,1997/98,S08000030, ,Total,d,8 - 28 days,1130
209,1997/98,S08000030, ,Total,d,29 days - 6 months,880
210,1997/98,S08000030, ,Total,d,> 6 months,210
211,1997/98,S08000028, ,SMR01, ,< 1 day,10
212,1997/98,S08000028, ,SMR01, ,1 - 7 days,60
213,1997/98,S08000028, ,SMR01, ,8 - 28 days,40
214,1997/98,S08000028, ,SMR01, ,29 days - 6 months,10
215,1997/98,S08000028, ,SMR01, ,> 6 months,0
216,1997/98,S08000028, ,SMR04, ,< 1 day,0
217,1997/98,S08000028, ,SMR04, ,1 - 7 days,40
218,1997/98,S08000028, ,SMR04, ,8 - 28 days,100
219,1997/98,S08000028, ,SMR04, ,29 days - 6 months,20
220,1997/98,S08000028, ,SMR04, ,> 6 months,10
221,1997/98,S08000028, ,Total,d,< 1 day,20
222,1997/98,S08000028, ,Total,d,1 - 7 days,100
223,1997/98,S08000028, ,Total,d,8 - 28 days,150
224,1997/98,S08000028, ,Total,d,29 days - 6 months,30
225,1997/98,S08000028, ,Total,d,> 6 months,10
226,1997/98,SB0802, ,SMR01, ,< 1 day,0
227,1997/98,SB0802, ,SMR01, ,1 - 7 days,0
228,1997/98,SB0802, ,SMR01, ,8 - 28 days,0
229,1997/98,SB0802, ,SMR01, ,29 days - 6 months,0
230,1997/98,SB0802, ,SMR01, ,> 6 months,0
231,1997/98,SB0802, ,SMR04, ,< 1 day,0
232,1997/98,SB0802, ,SMR04, ,1 - 7 days,0
233,1997/98,SB0802, ,SMR04, ,8 - 28 days,0
234,1997/98,SB0802, ,SMR04, ,29 days - 6 months,10
235,1997/98,SB0802, ,SMR04, ,> 6 months,20
236,1997/98,SB0802, ,Total,d,< 1 day,0
237,1997/98,SB0802, ,Total,d,1 - 7 days,0
238,1997/98,SB0802, ,Total,d,8 - 28 days,0
