_id,FinancialYear,HBT,HBTQF,Dataset,DatasetQF,LengthOfStay,NumberOfStays
3120,2009/10,S08000017, ,Total,d,> 6 months,50
3121,2009/10,S08000029, ,SMR01, ,< 1 day,70
3122,2009/10,S08000029, ,SMR01, ,1 - 7 days,220
3123,2009/10,S08000029, ,SMR01, ,8 - 28 days,80
3124,2009/10,S08000029, ,SMR01, ,29 days - 6 months,40
3125,2009/10,S08000029, ,SMR01, ,> 6 months,0
3126,2009/10,S08000029, ,SMR04, ,< 1 day,20
3127,2009/10,S08000029, ,SMR04, ,1 - 7 days,460
3128,2009/10,S08000029, ,SMR04, ,8 - 28 days,440
3129,2009/10,S08000029, ,SMR04, ,29 days - 6 months,330
3130,2009/10,S08000029, ,SMR04, ,> 6 months,90
3131,2009/10,S08000029, ,Total,d,< 1 day,100
3132,2009/10,S08000029, ,Total,d,1 - 7 days,680
3133,2009/10,S08000029, ,Total,d,8 - 28 days,520
3134,2009/10,S08000029, ,Total,d,29 days - 6 months,370
3135,2009/10,S08000029, ,Total,d,> 6 months,90
3136,2009/10,S08000019, ,SMR01, ,< 1 day,40
3137,2009/10,S08000019, ,SMR01, ,1 - 7 days,150
3138,2009/10,S08000019, ,SMR01, ,8 - 28 days,40
3139,2009/10,S08000019, ,SMR01, ,29 days - 6 months,10
3140,2009/10,S08000019, ,SMR01, ,> 6 months,0
3141,2009/10,S08000019, ,SMR04, ,< 1 day,40
3142,2009/10,S08000019, ,SMR04, ,1 - 7 days,410
3143,2009/10,S08000019, ,SMR04, ,8 - 28 days,220
3144,2009/10,S08000019, ,SMR04, ,29 days - 6 months,220
3145,2009/10,S08000019, ,SMR04, ,> 6 months,70
3146,2009/10,S08000019, ,Total,d,< 1 day,90
3147,2009/10,S08000019, ,Total,d,1 - 7 days,560
3148,2009/10,S08000019, ,Total,d,8 - 28 days,260
3149,2009/10,S08000019, ,Total,d,29 days - 6 months,240
3150,2009/10,S08000019, ,Total,d,> 6 months,70
3151,2009/10,S08000020, ,SMR01, ,< 1 day,140
3152,2009/10,S08000020, ,SMR01, ,1 - 7 days,470
3153,2009/10,S08000020, ,SMR01, ,8 - 28 days,160
3154,2009/10,S08000020, ,SMR01, ,29 days - 6 months,60
3155,2009/10,S08000020, ,SMR01, ,> 6 months,0
3156,2009/10,S08000020, ,SMR04, ,< 1 day,20
3157,2009/10,S08000020, ,SMR04, ,1 - 7 days,370
3158,2009/10,S08000020, ,SMR04, ,8 - 28 days,570
3159,2009/10,S08000020, ,SMR04, ,29 days - 6 months,640
3160,2009/10,S08000020, ,SMR04, ,> 6 months,100
3161,2009/10,S08000020, ,Total,d,< 1 day,170
3162,2009/10,S08000020, ,Total,d,1 - 7 days,840
3163,2009/10,S08000020, ,Total,d,8 - 28 days,730
3164,2009/10,S08000020, ,Total,d,29 days - 6 months,700
3165,2009/10,S08000020, ,Total,d,> 6 months,100
3166,2009/10,S08000031, ,SMR01, ,< 1 day,550
3167,2009/10,S08000031, ,SMR01, ,1 - 7 days,1860
3168,2009/10,S08000031, ,SMR01, ,8 - 28 days,480
3169,2009/10,S08000031, ,SMR01, ,29 days - 6 months,200
3170,2009/10,S08000031, ,SMR01, ,> 6 months,20
3171,2009/10,S08000031, ,SMR04, ,< 1 day,70
3172,2009/10,S08000031, ,SMR04, ,1 - 7 days,1280
3173,2009/10,S08000031, ,SMR04, ,8 - 28 days,1820
3174,2009/10,S08000031, ,SMR04, ,29 days - 6 months,1470
3175,2009/10,S08000031, ,SMR04, ,> 6 months,350
3176,2009/10,S08000031, ,Total,d,< 1 day,620
3177,2009/10,S08000031, ,Total,d,1 - 7 days,3140
3178,2009/10,S08000031, ,Total,d,8 - 28 days,2300
3179,2009/10,S08000031, ,Total,d,29 days - 6 months,1670
3180,2009/10,S08000031, ,Total,d,> 6 months,370
3181,2009/10,S08000022, ,SMR01, ,< 1 day,160
3182,2009/10,S08000022, ,SMR01, ,1 - 7 days,470
3183,2009/10,S08000022, ,SMR01, ,8 - 28 days,130
3184,2009/10,S08000022, ,SMR01, ,29 days - 6 months,60
3185,2009/10,S08000022, ,SMR01, ,> 6 months,10
3186,2009/10,S08000022, ,SMR04, ,< 1 day,10
3187,2009/10,S08000022, ,SMR04, ,1 - 7 days,310
3188,2009/10,S08000022, ,SMR04, ,8 - 28 days,350
3189,2009/10,S08000022, ,SMR04, ,29 days - 6 months,380
3190,2009/10,S08000022, ,SMR04, ,> 6 months,100
3191,2009/10,S08000022, ,Total,d,< 1 day,170
3192,2009/10,S08000022, ,Total,d,1 - 7 days,780
3193,2009/10,S08000022, ,Total,d,8 - 28 days,480
3194,2009/10,S08000022, ,Total,d,29 days - 6 months,430
3195,2009/10,S08000022, ,Total,d,> 6 months,110
3196,2009/10,S08000032, ,SMR01, ,< 1 day,140
3197,2009/10,S08000032, ,SMR01, ,1 - 7 days,630
3198,2009/10,S08000032, ,SMR01, ,8 - 28 days,180
3199,2009/10,S08000032, ,SMR01, ,29 days - 6 months,50
3200,2009/10,S08000032, ,SMR01, ,> 6 months,0
3201,2009/10,S08000032, ,SMR04, ,< 1 day,20
3202,2009/10,S08000032, ,SMR04, ,1 - 7 days,460
3203,2009/10,S08000032, ,SMR04, ,8 - 28 days,850
3204,2009/10,S08000032, ,SMR04, ,29 days - 6 months,620
3205,2009/10,S08000032, ,SMR04, ,> 6 months,110
3206,2009/10,S08000032, ,Total,d,< 1 day,160
3207,2009/10,S08000032, ,Total,d,1 - 7 days,1090
3208,2009/10,S08000032, ,Total,d,8 - 28 days,1030
3209,2009/10,S08000032, ,Total,d,29 days - 6 months,670
3210,2009/10,S08000032, ,Total,d,> 6 months,110
3211,2009/10,S08000024, ,SMR01, ,< 1 day,320
3212,2009/10,S08000024, ,SMR01, ,1 - 7 days,660
3213,2009/10,S08000024, ,SMR01, ,8 - 28 days,230
3214,2009/10,S08000024, ,SMR01, ,29 days - 6 months,220
3215,2009/10,S08000024, ,SMR01, ,> 6 months,10
3216,2009/10,S08000024, ,SMR04, ,< 1 day,70
3217,2009/10,S08000024, ,SMR04, ,1 - 7 days,800
3218,2009/10,S08000024, ,SMR04, ,8 - 28 days,1090
3219,2009/10,S08000024, ,SMR04, ,29 days - 6 months,830
3220,2009/10,S08000024, ,SMR04, ,> 6 months,190
3221,2009/10,S08000024, ,Total,d,< 1 day,390
3222,2009/10,S08000024, ,Total,d,1 - 7 days,1460
3223,2009/10,S08000024, ,Total,d,8 - 28 days,1320
3224,2009/10,S08000024, ,Total,d,29 days - 6 months,1050
3225,2009/10,S08000024, ,Total,d,> 6 months,200
3226,2009/10,S08000025, ,SMR01, ,< 1 day,30
3227,2009/10,S08000025, ,SMR01, ,1 - 7 days,20
3228,2009/10,S08000025, ,SMR01, ,8 - 28 days,0
3229,2009/10,S08000025, ,SMR01, ,29 days - 6 months,0
3230,2009/10,S08000025, ,SMR01, ,> 6 months,0
3231,2009/10,S08000025, ,SMR04, ,< 1 day,0
3232,2009/10,S08000025, ,SMR04, ,1 - 7 days,0
3233,2009/10,S08000025, ,SMR04, ,8 - 28 days,0
3234,2009/10,S08000025, ,SMR04, ,29 days - 6 months,0
3235,2009/10,S08000025, ,SMR04, ,> 6 months,0
3236,2009/10,S08000025, ,Total,d,< 1 day,30
3237,2009/10,S08000025, ,Total,d,1 - 7 days,20
3238,2009/10,S08000025, ,Total,d,8 - 28 days,0
3239,2009/10,S08000025, ,Total,d,29 days - 6 months,0
3240,2009/10,S08000025, ,Total,d,> 6 months,0
3241,2009/10,S08000026, ,SMR01, ,< 1 day,20
3242,2009/10,S08000026, ,SMR01, ,1 - 7 days,20
3243,2009/10,S08000026, ,SMR01, ,8 - 28 days,0
3244,2009/10,S08000026, ,SMR01, ,29 days - 6 months,0
3245,2009/10,S08000026, ,SMR01, ,> 6 months,0
3246,2009/10,S08000026, ,SMR04, ,< 1 day,0
3247,2009/10,S08000026, ,SMR04, ,1 - 7 days,0
3248,2009/10,S08000026, ,SMR04, ,8 - 28 days,0
3249,2009/10,S08000026, ,SMR04, ,29 days - 6 months,0
3250,2009/10,S08000026, ,SMR04, ,> 6 months,0
3251,2009/10,S08000026, ,Total,d,< 1 day,20
3252,2009/10,S08000026, ,Total,d,1 - 7 days,20
3253,2009/10,S08000026, ,Total,d,8 - 28 days,0
3254,2009/10,S08000026, ,Total,d,29 days - 6 months,0
3255,2009/10,S08000026, ,Total,d,> 6 months,0
3256,2009/10,S08000030, ,SMR01, ,< 1 day,130
3257,2009/10,S08000030, ,SMR01, ,1 - 7 days,200
3258,2009/10,S08000030, ,SMR01, ,8 - 28 days,80
3259,2009/10,S08000030, ,SMR01, ,29 days - 6 months,60
3260,2009/10,S08000030, ,SMR01, ,> 6 months,0
3261,2009/10,S08000030, ,SMR04, ,< 1 day,40
3262,2009/10,S08000030, ,SMR04, ,1 - 7 days,630
3263,2009/10,S08000030, ,SMR04, ,8 - 28 days,600
3264,2009/10,S08000030, ,SMR04, ,29 days - 6 months,610
3265,2009/10,S08000030, ,SMR04, ,> 6 months,120
3266,2009/10,S08000030, ,Total,d,< 1 day,170
3267,2009/10,S08000030, ,Total,d,1 - 7 days,830
3268,2009/10,S08000030, ,Total,d,8 - 28 days,670
3269,2009/10,S08000030, ,Total,d,29 days - 6 months,670
3270,2009/10,S08000030, ,Total,d,> 6 months,120
3271,2009/10,S08000028, ,SMR01, ,< 1 day,20
3272,2009/10,S08000028, ,SMR01, ,1 - 7 days,70
3273,2009/10,S08000028, ,SMR01, ,8 - 28 days,30
3274,2009/10,S08000028, ,SMR01, ,29 days - 6 months,0
3275,2009/10,S08000028, ,SMR01, ,> 6 months,0
3276,2009/10,S08000028, ,SMR04, ,< 1 day,0
3277,2009/10,S08000028, ,SMR04, ,1 - 7 days,10
3278,2009/10,S08000028, ,SMR04, ,8 - 28 days,20
3279,2009/10,S08000028, ,SMR04, ,29 days - 6 months,20
3280,2009/10,S08000028, ,SMR04, ,> 6 months,10
3281,2009/10,S08000028, ,Total,d,< 1 day,20
3282,2009/10,S08000028, ,Total,d,1 - 7 days,80
3283,2009/10,S08000028, ,Total,d,8 - 28 days,40
3284,2009/10,S08000028, ,Total,d,29 days - 6 months,20
3285,2009/10,S08000028, ,Total,d,> 6 months,10
3286,2009/10,SB0802, ,SMR01, ,< 1 day,0
3287,2009/10,SB0802, ,SMR01, ,1 - 7 days,0
3288,2009/10,SB0802, ,SMR01, ,8 - 28 days,0
3289,2009/10,SB0802, ,SMR01, ,29 days - 6 months,0
3290,2009/10,SB0802, ,SMR01, ,> 6 months,0
3291,2009/10,SB0802, ,SMR04, ,< 1 day,0
3292,2009/10,SB0802, ,SMR04, ,1 - 7 days,0
3293,2009/10,SB0802, ,SMR04, ,8 - 28 days,0
3294,2009/10,SB0802, ,SMR04, ,29 days - 6 months,0
3295,2009/10,SB0802, ,SMR04, ,> 6 months,10
3296,2009/10,SB0802, ,Total,d,< 1 day,0
3297,2009/10,SB0802, ,Total,d,1 - 7 days,0
3298,2009/10,SB0802, ,Total,d,8 - 28 days,0
3299,2009/10,SB0802, ,Total,d,29 days - 6 months,0
3300,2009/10,SB0802, ,Total,d,> 6 months,10
3301,2009/10,S92000003,d,SMR01, ,< 1 day,1920
3302,2009/10,S92000003,d,SMR01, ,1 - 7 days,5470
3303,2009/10,S92000003,d,SMR01, ,8 - 28 days,1600
3304,2009/10,S92000003,d,SMR01, ,29 days - 6 months,790
3305,2009/10,S92000003,d,SMR01, ,> 6 months,60
3306,2009/10,S92000003,d,SMR04, ,< 1 day,380
3307,2009/10,S92000003,d,SMR04, ,1 - 7 days,5510
3308,2009/10,S92000003,d,SMR04, ,8 - 28 days,6740
3309,2009/10,S92000003,d,SMR04, ,29 days - 6 months,5890
3310,2009/10,S92000003,d,SMR04, ,> 6 months,1280
3311,2009/10,S92000003,d,Total,d,< 1 day,2300
3312,2009/10,S92000003,d,Total,d,1 - 7 days,10980
3313,2009/10,S92000003,d,Total,d,8 - 28 days,8350
3314,2009/10,S92000003,d,Total,d,29 days - 6 months,6680
3315,2009/10,S92000003,d,Total,d,> 6 months,1340
3316,2010/11,SB0801, ,SMR01, ,< 1 day,0
3317,2010/11,SB0801, ,SMR01, ,1 - 7 days,0
3318,2010/11,SB0801, ,SMR01, ,8 - 28 days,0
3319,2010/11,SB0801, ,SMR01, ,29 days - 6 months,0
3320,2010/11,SB0801, ,SMR01, ,> 6 months,0
3321,2010/11,SB0801, ,SMR04, ,< 1 day,0
3322,2010/11,SB0801, ,SMR04, ,1 - 7 days,0
3323,2010/11,SB0801, ,SMR04, ,8 - 28 days,0
3324,2010/11,SB0801, ,SMR04, ,29 days - 6 months,0
3325,2010/11,SB0801, ,SMR04, ,> 6 months,0
3326,2010/11,SB0801, ,Total,d,< 1 day,0
3327,2010/11,SB0801, ,Total,d,1 - 7 days,0
3328,2010/11,SB0801, ,Total,d,8 - 28 days,0
3329,2010/11,SB0801, ,Total,d,29 days - 6 months,0
3330,2010/11,SB0801, ,Total,d,> 6 months,0
3331,2010/11,S08000015, ,SMR01, ,< 1 day,210
3332,2010/11,S08000015, ,SMR01, ,1 - 7 days,500
3333,2010/11,S08000015, ,SMR01, ,8 - 28 days,130
3334,2010/11,S08000015, ,SMR01, ,29 days - 6 months,30
3335,2010/11,S08000015, ,SMR01, ,> 6 months,0
3336,2010/11,S08000015, ,SMR04, ,< 1 day,20
3337,2010/11,S08000015, ,SMR04, ,1 - 7 days,430
3338,2010/11,S08000015, ,SMR04, ,8 - 28 days,440
3339,2010/11,S08000015, ,SMR04, ,29 days - 6 months,440
3340,2010/11,S08000015, ,SMR04, ,> 6 months,70
3341,2010/11,S08000015, ,Total,d,< 1 day,230
3342,2010/11,S08000015, ,Total,d,1 - 7 days,940
3343,2010/11,S08000015, ,Total,d,8 - 28 days,570
3344,2010/11,S08000015, ,Total,d,29 days - 6 months,470
3345,2010/11,S08000015, ,Total,d,> 6 months,70
3346,2010/11,S08000016, ,SMR01, ,< 1 day,60
3347,2010/11,S08000016, ,SMR01, ,1 - 7 days,130
3348,2010/11,S08000016, ,SMR01, ,8 - 28 days,50
3349,2010/11,S08000016, ,SMR01, ,29 days - 6 months,30
3350,2010/11,S08000016, ,SMR01, ,> 6 months,0
3351,2010/11,S08000016, ,SMR04, ,< 1 day,10
3352,2010/11,S08000016, ,SMR04, ,1 - 7 days,130
3353,2010/11,S08000016, ,SMR04, ,8 - 28 days,180
3354,2010/11,S08000016, ,SMR04, ,29 days - 6 months,140
3355,2010/11,S08000016, ,SMR04, ,> 6 months,40
3356,2010/11,S08000016, ,Total,d,< 1 day,60
3357,2010/11,S08000016, ,Total,d,1 - 7 days,260
3358,2010/11,S08000016, ,Total,d,8 - 28 days,240
3359,2010/11,S08000016, ,Total,d,29 days - 6 months,180
3360,2010/11,S08000016, ,Total,d,> 6 months,40
3361,2010/11,S08000017, ,SMR01, ,< 1 day,60
3362,2010/11,S08000017, ,SMR01, ,1 - 7 days,110
3363,2010/11,S08000017, ,SMR01, ,8 - 28 days,60
3364,2010/11,S08000017, ,SMR01, ,29 days - 6 months,30
3365,2010/11,S08000017, ,SMR01, ,> 6 months,0
3366,2010/11,S08000017, ,SMR04, ,< 1 day,30
3367,2010/11,S08000017, ,SMR04, ,1 - 7 days,280
3368,2010/11,S08000017, ,SMR04, ,8 - 28 days,190
3369,2010/11,S08000017, ,SMR04, ,29 days - 6 months,160
3370,2010/11,S08000017, ,SMR04, ,> 6 months,30
3371,2010/11,S08000017, ,Total,d,< 1 day,90
3372,2010/11,S08000017, ,Total,d,1 - 7 days,390
3373,2010/11,S08000017, ,Total,d,8 - 28 days,250
3374,2010/11,S08000017, ,Total,d,29 days - 6 months,190
3375,2010/11,S08000017, ,Total,d,> 6 months,30
3376,2010/11,S08000029, ,SMR01, ,< 1 day,90
3377,2010/11,S08000029, ,SMR01, ,1 - 7 days,200
3378,2010/11,S08000029, ,SMR01, ,8 - 28 days,110
3379,2010/11,S08000029, ,SMR01, ,29 days - 6 months,60
3380,2010/11,S08000029, ,SMR01, ,> 6 months,0
3381,2010/11,S08000029, ,SMR04, ,< 1 day,30
3382,2010/11,S08000029, ,SMR04, ,1 - 7 days,360
3383,2010/11,S08000029, ,SMR04, ,8 - 28 days,360
3384,2010/11,S08000029, ,SMR04, ,29 days - 6 months,350
3385,2010/11,S08000029, ,SMR04, ,> 6 months,90
3386,2010/11,S08000029, ,Total,d,< 1 day,120
3387,2010/11,S08000029, ,Total,d,1 - 7 days,560
3388,2010/11,S08000029, ,Total,d,8 - 28 days,460
3389,2010/11,S08000029, ,Total,d,29 days - 6 months,410
3390,2010/11,S08000029, ,Total,d,> 6 months,90
3391,2010/11,S08000019, ,SMR01, ,< 1 day,20
3392,2010/11,S08000019, ,SMR01, ,1 - 7 days,120
3393,2010/11,S08000019, ,SMR01, ,8 - 28 days,30
3394,2010/11,S08000019, ,SMR01, ,29 days - 6 months,0
3395,2010/11,S08000019, ,SMR01, ,> 6 months,0
3396,2010/11,S08000019, ,SMR04, ,< 1 day,40
3397,2010/11,S08000019, ,SMR04, ,1 - 7 days,410
3398,2010/11,S08000019, ,SMR04, ,8 - 28 days,250
3399,2010/11,S08000019, ,SMR04, ,29 days - 6 months,190
3400,2010/11,S08000019, ,SMR04, ,> 6 months,70
3401,2010/11,S08000019, ,Total,d,< 1 day,60
3402,2010/11,S08000019, ,Total,d,1 - 7 days,530
3403,2010/11,S08000019, ,Total,d,8 - 28 days,290
3404,2010/11,S08000019, ,Total,d,29 days - 6 months,200
3405,2010/11,S08000019, ,Total,d,> 6 months,70
3406,2010/11,S08000020, ,SMR01, ,< 1 day,120
3407,2010/11,S08000020, ,SMR01, ,1 - 7 days,480
3408,2010/11,S08000020, ,SMR01, ,8 - 28 days,160
3409,2010/11,S08000020, ,SMR01, ,29 days - 6 months,50
3410,2010/11,S08000020, ,SMR01, ,> 6 months,0
3411,2010/11,S08000020, ,SMR04, ,< 1 day,30
3412,2010/11,S08000020, ,SMR04, ,1 - 7 days,400
3413,2010/11,S08000020, ,SMR04, ,8 - 28 days,620
3414,2010/11,S08000020, ,SMR04, ,29 days - 6 months,660
3415,2010/11,S08000020, ,SMR04, ,> 6 months,100
3416,2010/11,S08000020, ,Total,d,< 1 day,150
3417,2010/11,S08000020, ,Total,d,1 - 7 days,890
3418,2010/11,S08000020, ,Total,d,8 - 28 days,770
3419,2010/11,S08000020, ,Total,d,29 days - 6 months,710
3420,2010/11,S08000020, ,Total,d,> 6 months,110
3421,2010/11,S08000031, ,SMR01, ,< 1 day,610
3422,2010/11,S08000031, ,SMR01, ,1 - 7 days,1990
3423,2010/11,S08000031, ,SMR01, ,8 - 28 days,460
3424,2010/11,S08000031, ,SMR01, ,29 days - 6 months,210
3425,2010/11,S08000031, ,SMR01, ,> 6 months,20
3426,2010/11,S08000031, ,SMR04, ,< 1 day,50
3427,2010/11,S08000031, ,SMR04, ,1 - 7 days,950
3428,2010/11,S08000031, ,SMR04, ,8 - 28 days,1570
3429,2010/11,S08000031, ,SMR04, ,29 days - 6 months,1340
3430,2010/11,S08000031, ,SMR04, ,> 6 months,370
3431,2010/11,S08000031, ,Total,d,< 1 day,660
3432,2010/11,S08000031, ,Total,d,1 - 7 days,2940
3433,2010/11,S08000031, ,Total,d,8 - 28 days,2040
3434,2010/11,S08000031, ,Total,d,29 days - 6 months,1550
3435,2010/11,S08000031, ,Total,d,> 6 months,400
3436,2010/11,S08000022, ,SMR01, ,< 1 day,160
3437,2010/11,S08000022, ,SMR01, ,1 - 7 days,430
3438,2010/11,S08000022, ,SMR01, ,8 - 28 days,110
3439,2010/11,S08000022, ,SMR01, ,29 days - 6 months,60
3440,2010/11,S08000022, ,SMR01, ,> 6 months,10
3441,2010/11,S08000022, ,SMR04, ,< 1 day,30
3442,2010/11,S08000022, ,SMR04, ,1 - 7 days,340
3443,2010/11,S08000022, ,SMR04, ,8 - 28 days,410
3444,2010/11,S08000022, ,SMR04, ,29 days - 6 months,360
3445,2010/11,S08000022, ,SMR04, ,> 6 months,120
3446,2010/11,S08000022, ,Total,d,< 1 day,180
3447,2010/11,S08000022, ,Total,d,1 - 7 days,760
3448,2010/11,S08000022, ,Total,d,8 - 28 days,520
3449,2010/11,S08000022, ,Total,d,29 days - 6 months,420
3450,2010/11,S08000022, ,Total,d,> 6 months,120
3451,2010/11,S08000032, ,SMR01, ,< 1 day,210
3452,2010/11,S08000032, ,SMR01, ,1 - 7 days,720
3453,2010/11,S08000032, ,SMR01, ,8 - 28 days,170
3454,2010/11,S08000032, ,SMR01, ,29 days - 6 months,60
3455,2010/11,S08000032, ,SMR01, ,> 6 months,0
3456,2010/11,S08000032, ,SMR04, ,< 1 day,50
3457,2010/11,S08000032, ,SMR04, ,1 - 7 days,450
3458,2010/11,S08000032, ,SMR04, ,8 - 28 days,880
3459,2010/11,S08000032, ,SMR04, ,29 days - 6 months,620
3460,2010/11,S08000032, ,SMR04, ,> 6 months,120
3461,2010/11,S08000032, ,Total,d,< 1 day,260
3462,2010/11,S08000032, ,Total,d,1 - 7 days,1180
3463,2010/11,S08000032, ,Total,d,8 - 28 days,1050
3464,2010/11,S08000032, ,Total,d,29 days - 6 months,680
3465,2010/11,S08000032, ,Total,d,> 6 months,120
3466,2010/11,S08000024, ,SMR01, ,< 1 day,330
3467,2010/11,S08000024, ,SMR01, ,1 - 7 days,700
3468,2010/11,S08000024, ,SMR01, ,8 - 28 days,280
3469,2010/11,S08000024, ,SMR01, ,29 days - 6 months,220
3470,2010/11,S08000024, ,SMR01, ,> 6 months,20
3471,2010/11,S08000024, ,SMR04, ,< 1 day,50
3472,2010/11,S08000024, ,SMR04, ,1 - 7 days,810
3473,2010/11,S08000024, ,SMR04, ,8 - 28 days,990
3474,2010/11,S08000024, ,SMR04, ,29 days - 6 months,760
3475,2010/11,S08000024, ,SMR04, ,> 6 months,210
3476,2010/11,S08000024, ,Total,d,< 1 day,380
3477,2010/11,S08000024, ,Total,d,1 - 7 days,1510
3478,2010/11,S08000024, ,Total,d,8 - 28 days,1270
3479,2010/11,S08000024, ,Total,d,29 days - 6 months,980
3480,2010/11,S08000024, ,Total,d,> 6 months,220
3481,2010/11,S08000025, ,SMR01, ,< 1 day,20
3482,2010/11,S08000025, ,SMR01, ,1 - 7 days,40
3483,2010/11,S08000025, ,SMR01, ,8 - 28 days,0
3484,2010/11,S08000025, ,SMR01, ,29 days - 6 months,0
3485,2010/11,S08000025, ,SMR01, ,> 6 months,0
3486,2010/11,S08000025, ,SMR04, ,< 1 day,0
3487,2010/11,S08000025, ,SMR04, ,1 - 7 days,0
3488,2010/11,S08000025, ,SMR04, ,8 - 28 days,0
3489,2010/11,S08000025, ,SMR04, ,29 days - 6 months,0
3490,2010/11,S08000025, ,SMR04, ,> 6 months,0
3491,2010/11,S08000025, ,Total,d,< 1 day,20
3492,2010/11,S08000025, ,Total,d,1 - 7 days,40
3493,2010/11,S08000025, ,Total,d,8 - 28 days,0
3494,2010/11,S08000025, ,Total,d,29 days - 6 months,0
3495,2010/11,S08000025, ,Total,d,> 6 months,0
3496,2010/11,S08000026, ,SMR01, ,< 1 day,20
3497,2010/11,S08000026, ,SMR01, ,1 - 7 days,50
3498,2010/11,S08000026, ,SMR01, ,8 - 28 days,0
3499,2010/11,S08000026, ,SMR01, ,29 days - 6 months,0
3500,2010/11,S08000026, ,SMR01, ,> 6 months,0
3501,2010/11,S08000026, ,SMR04, ,< 1 day,0
3502,2010/11,S08000026, ,SMR04, ,1 - 7 days,0
3503,2010/11,S08000026, ,SMR04, ,8 - 28 days,0
3504,2010/11,S08000026, ,SMR04, ,29 days - 6 months,0
3505,2010/11,S08000026, ,SMR04, ,> 6 months,0
3506,2010/11,S08000026, ,Total,d,< 1 day,20
3507,2010/11,S08000026, ,Total,d,1 - 7 days,50
3508,2010/11,S08000026, ,Total,d,8 - 28 days,0
3509,2010/11,S08000026, ,Total,d,29 days - 6 months,0
3510,2010/11,S08000026, ,Total,d,> 6 months,0
3511,2010/11,S08000030, ,SMR01, ,< 1 day,100
3512,2010/11,S08000030, ,SMR01, ,1 - 7 days,210
3513,2010/11,S08000030, ,SMR01, ,8 - 28 days,80
3514,2010/11,S08000030, ,SMR01, ,29 days - 6 months,50
3515,2010/11,S08000030, ,SMR01, ,> 6 months,0
3516,2010/11,S08000030, ,SMR04, ,< 1 day,30
3517,2010/11,S08000030, ,SMR04, ,1 - 7 days,500
3518,2010/11,S08000030, ,SMR04, ,8 - 28 days,540
3519,2010/11,S08000030, ,SMR04, ,29 days - 6 months,550
3520,2010/11,S08000030, ,SMR04, ,> 6 months,120
3521,2010/11,S08000030, ,Total,d,< 1 day,140
3522,2010/11,S08000030, ,Total,d,1 - 7 days,720
3523,2010/11,S08000030, ,Total,d,8 - 28 days,620
3524,2010/11,S08000030, ,Total,d,29 days - 6 months,600
3525,2010/11,S08000030, ,Total,d,> 6 months,120
3526,2010/11,S08000028, ,SMR01, ,< 1 day,20
3527,2010/11,S08000028, ,SMR01, ,1 - 7 days,40
3528,2010/11,S08000028, ,SMR01, ,8 - 28 days,10
3529,2010/11,S08000028, ,SMR01, ,29 days - 6 months,0
3530,2010/11,S08000028, ,SMR01, ,> 6 months,0
3531,2010/11,S08000028, ,SMR04, ,< 1 day,0
3532,2010/11,S08000028, ,SMR04, ,1 - 7 days,20
3533,2010/11,S08000028, ,SMR04, ,8 - 28 days,20
3534,2010/11,S08000028, ,SMR04, ,29 days - 6 months,20
3535,2010/11,S08000028, ,SMR04, ,> 6 months,10
3536,2010/11,S08000028, ,Total,d,< 1 day,20
3537,2010/11,S08000028, ,Total,d,1 - 7 days,60
3538,2010/11,S08000028, ,Total,d,8 - 28 days,30
3539,2010/11,S08000028, ,Total,d,29 days - 6 months,20
3540,2010/11,S08000028, ,Total,d,> 6 months,10
3541,2010/11,SB0802, ,SMR01, ,< 1 day,0
3542,2010/11,SB0802, ,SMR01, ,1 - 7 days,0
3543,2010/11,SB0802, ,SMR01, ,8 - 28 days,0
3544,2010/11,SB0802, ,SMR01, ,29 days - 6 months,0
3545,2010/11,SB0802, ,SMR01, ,> 6 months,0
3546,2010/11,SB0802, ,SMR04, ,< 1 day,0
3547,2010/11,SB0802, ,SMR04, ,1 - 7 days,0
3548,2010/11,SB0802, ,SMR04, ,8 - 28 days,0
3549,2010/11,SB0802, ,SMR04, ,29 days - 6 months,0
3550,2010/11,SB0802, ,SMR04, ,> 6 months,10
3551,2010/11,SB0802, ,Total,d,< 1 day,0
3552,2010/11,SB0802, ,Total,d,1 - 7 days,0
3553,2010/11,SB0802, ,Total,d,8 - 28 days,0
3554,2010/11,SB0802, ,Total,d,29 days - 6 months,0
3555,2010/11,SB0802, ,Total,d,> 6 months,10
3556,2010/11,S92000003,d,SMR01, ,< 1 day,2020
3557,2010/11,S92000003,d,SMR01, ,1 - 7 days,5720
3558,2010/11,S92000003,d,SMR01, ,8 - 28 days,1660
3559,2010/11,S92000003,d,SMR01, ,29 days - 6 months,810
3560,2010/11,S92000003,d,SMR01, ,> 6 months,60
3561,2010/11,S92000003,d,SMR04, ,< 1 day,370
3562,2010/11,S92000003,d,SMR04, ,1 - 7 days,5090
3563,2010/11,S92000003,d,SMR04, ,8 - 28 days,6450
3564,2010/11,S92000003,d,SMR04, ,29 days - 6 months,5600
3565,2010/11,S92000003,d,SMR04, ,> 6 months,1360
3566,2010/11,S92000003,d,Total,d,< 1 day,2390
3567,2010/11,S92000003,d,Total,d,1 - 7 days,10810
3568,2010/11,S92000003,d,Total,d,8 - 28 days,8110
3569,2010/11,S92000003,d,Total,d,29 days - 6 months,6400
3570,2010/11,S92000003,d,Total,d,> 6 months,1420
3571,2011/12,SB0801, ,SMR01, ,< 1 day,0
