_id,Year,HBR,HBRQF,Sex,SexQF,IndividualsCount
357,2019,S08000017,"",Both Sexes,d,12
358,2019,S08000018,"",Male,"",32
359,2019,S08000018,"",Female,"",13
360,2019,S08000018,"",Both Sexes,d,45
361,2019,S08000019,"",Male,"",36
362,2019,S08000019,"",Female,"",12
363,2019,S08000019,"",Both Sexes,d,48
364,2019,S08000020,"",Male,"",62
365,2019,S08000020,"",Female,"",17
366,2019,S08000020,"",Both Sexes,d,79
367,2019,S08000021,"",Male,"",121
368,2019,S08000021,"",Female,"",52
369,2019,S08000021,"",Both Sexes,d,173
370,2019,S08000022,"",Male,"",62
371,2019,S08000022,"",Female,"",25
372,2019,S08000022,"",Both Sexes,d,87
373,2019,S08000023,"",Male,"",90
374,2019,S08000023,"",Female,"",22
375,2019,S08000023,"",Both Sexes,d,112
376,2019,S08000024,"",Male,"",88
377,2019,S08000024,"",Female,"",36
378,2019,S08000024,"",Both Sexes,d,124
379,2019,S08000025,"",Male,"",2
380,2019,S08000025,"",Female,"",1
381,2019,S08000025,"",Both Sexes,d,3
382,2019,S08000026,"",Male,"",1
383,2019,S08000026,"",Female,"",1
384,2019,S08000026,"",Both Sexes,d,2
385,2019,S08000027,"",Male,"",53
386,2019,S08000027,"",Female,"",16
387,2019,S08000027,"",Both Sexes,d,69
388,2019,S08000028,"",Male,"",3
389,2019,S08000028,"",Both Sexes,d,3
390,2019,S92000003,d,Male,d,620
391,2019,S92000003,d,Female,d,213
392,2019,S92000003,d,Both Sexes,d,833
