financial_year,health_board,age_group,sex,discharge_count,discharge_count_qf,discharge_rates,discharge_rates_qf,patients_count,patient_count_qf,patients_rates,patient_rates_qf
2005,All of Scotland,40-64,Male,7740,NA,919.45,NA,5180,NA,615.34,NA
2005,All of Scotland,40-64,Female,5850,NA,663.49,NA,3900,NA,442.33,NA
2005,All of Scotland,65+,Male,4130,NA,1195.35,NA,2950,NA,853.82,NA
2005,All of Scotland,65+,Female,5900,NA,1211.96,NA,4310,NA,885.35,NA
2006,All of Scotland,0-17,Male,460,NA,85.47,NA,410,NA,76.18,NA
2006,All of Scotland,0-17,Female,440,NA,85.49,NA,360,NA,69.95,NA
2006,All of Scotland,18-24,Male,1400,NA,595.75,NA,980,NA,417.02,NA
2006,All of Scotland,18-24,Female,1000,NA,421.82,NA,650,NA,274.18,NA
2006,All of Scotland,25-39,Male,5200,NA,1045.06,NA,3320,NA,667.23,NA
2006,All of Scotland,25-39,Female,3460,NA,661.8,NA,2210,NA,422.71,NA
2006,All of Scotland,40-64,Male,7980,NA,933.65,NA,5250,NA,614.24,NA
2006,All of Scotland,40-64,Female,5700,NA,636.74,NA,3840,NA,428.96,NA
2006,All of Scotland,65+,Male,4260,NA,1218.57,NA,3020,NA,863.87,NA
2006,All of Scotland,65+,Female,6060,NA,1241.33,NA,4260,NA,872.62,NA
2007,All of Scotland,0-17,Male,470,NA,87.27,NA,420,NA,77.98,NA
2007,All of Scotland,0-17,Female,490,NA,95.24,NA,420,NA,81.63,NA
2007,All of Scotland,18-24,Male,1430,NA,602.74,NA,1000,NA,421.5,NA
2007,All of Scotland,18-24,Female,1010,NA,423,NA,690,NA,288.98,NA
2007,All of Scotland,25-39,Male,5390,NA,1084.64,NA,3410,NA,686.2,NA
2007,All of Scotland,25-39,Female,3520,NA,675.68,NA,2270,NA,435.74,NA
2007,All of Scotland,40-64,Male,8410,NA,968.38,NA,5380,NA,619.49,NA
2007,All of Scotland,40-64,Female,5940,NA,653.81,NA,3910,NA,430.37,NA
2007,All of Scotland,65+,Male,4310,NA,1212.97,NA,3000,NA,844.3,NA
2007,All of Scotland,65+,Female,5620,NA,1145.3,NA,4040,NA,823.31,NA
2008,All of Scotland,0-17,Male,440,NA,81.8,NA,370,NA,68.79,NA
2008,All of Scotland,0-17,Female,450,NA,87.48,NA,370,NA,71.93,NA
2008,All of Scotland,18-24,Male,1290,NA,536.48,NA,910,NA,378.45,NA
2008,All of Scotland,18-24,Female,1030,NA,427.1,NA,710,NA,294.41,NA
2008,All of Scotland,25-39,Male,5360,NA,1081.76,NA,3390,NA,684.17,NA
2008,All of Scotland,25-39,Female,3470,NA,670.67,NA,2310,NA,446.47,NA
2008,All of Scotland,40-64,Male,8660,NA,985.38,NA,5590,NA,636.06,NA
2008,All of Scotland,40-64,Female,5880,NA,639.47,NA,4010,NA,436.1,NA
2008,All of Scotland,65+,Male,4360,NA,1202.36,NA,3090,NA,852.13,NA
2008,All of Scotland,65+,Female,5640,NA,1139.07,NA,4020,NA,811.89,NA
2009,All of Scotland,0-17,Male,410,NA,76.16,NA,340,NA,63.16,NA
2009,All of Scotland,0-17,Female,390,NA,75.82,NA,320,NA,62.21,NA
2009,All of Scotland,18-24,Male,1260,NA,519.87,NA,900,NA,371.33,NA
2009,All of Scotland,18-24,Female,980,NA,403.05,NA,700,NA,287.89,NA
2009,All of Scotland,25-39,Male,4750,NA,963.12,NA,3120,NA,632.62,NA
2009,All of Scotland,25-39,Female,3270,NA,636.48,NA,2140,NA,416.54,NA
2009,All of Scotland,40-64,Male,8200,NA,924.28,NA,5310,NA,598.53,NA
2009,All of Scotland,40-64,Female,5700,NA,613.59,NA,3850,NA,414.45,NA
2009,All of Scotland,65+,Male,4230,NA,1140.5,NA,2970,NA,800.77,NA
2009,All of Scotland,65+,Female,5510,NA,1102.7,NA,3900,NA,780.49,NA
2010,All of Scotland,0-17,Male,340,NA,63.56,NA,290,NA,54.21,NA
2010,All of Scotland,0-17,Female,430,NA,84.22,NA,330,NA,64.63,NA
2010,All of Scotland,18-24,Male,1230,NA,497.2,NA,880,NA,355.72,NA
2010,All of Scotland,18-24,Female,910,NA,365.65,NA,640,NA,257.16,NA
2010,All of Scotland,25-39,Male,4820,NA,978.11,NA,3100,NA,629.08,NA
2010,All of Scotland,25-39,Female,3340,NA,651.65,NA,2130,NA,415.57,NA
2010,All of Scotland,40-64,Male,8160,NA,911.87,NA,5160,NA,576.62,NA
2010,All of Scotland,40-64,Female,5360,NA,571.42,NA,3590,NA,382.73,NA
2010,All of Scotland,65+,Male,4590,NA,1213.55,NA,3060,NA,809.03,NA
2010,All of Scotland,65+,Female,5970,NA,1184.54,NA,4030,NA,799.62,NA
2011,All of Scotland,0-17,Male,350,NA,65.59,NA,300,NA,56.22,NA
2011,All of Scotland,0-17,Female,400,NA,78.67,NA,320,NA,62.94,NA
2011,All of Scotland,18-24,Male,1250,NA,496.1,NA,890,NA,353.23,NA
2011,All of Scotland,18-24,Female,890,NA,351.58,NA,630,NA,248.87,NA
2011,All of Scotland,25-39,Male,4880,NA,986.85,NA,3060,NA,618.8,NA
2011,All of Scotland,25-39,Female,3310,NA,646.82,NA,2100,NA,410.37,NA
2011,All of Scotland,40-64,Male,8700,NA,963.28,NA,5330,NA,590.15,NA
2011,All of Scotland,40-64,Female,5710,NA,602.98,NA,3720,NA,392.83,NA
2011,All of Scotland,65+,Male,4820,NA,1245.29,NA,3110,NA,803.5,NA
2011,All of Scotland,65+,Female,6290,NA,1235.01,NA,4070,NA,799.13,NA
2012,All of Scotland,0-17,Male,350,NA,65.83,NA,260,NA,48.9,NA
2012,All of Scotland,0-17,Female,500,NA,98.72,NA,380,NA,75.02,NA
2012,All of Scotland,18-24,Male,1220,NA,483.52,NA,850,NA,336.88,NA
2012,All of Scotland,18-24,Female,960,NA,379.85,NA,630,NA,249.28,NA
2012,All of Scotland,25-39,Male,4520,NA,918.06,NA,2860,NA,580.89,NA
2012,All of Scotland,25-39,Female,3090,NA,605.98,NA,2010,NA,394.18,NA
2012,All of Scotland,40-64,Male,8380,NA,933.21,NA,5280,NA,587.99,NA
2012,All of Scotland,40-64,Female,5710,NA,604.63,NA,3660,NA,387.55,NA
2012,All of Scotland,65+,Male,5020,NA,1245.75,NA,3220,NA,799.07,NA
2012,All of Scotland,65+,Female,6530,NA,1249.11,NA,4170,NA,797.67,NA
2013,All of Scotland,0-17,Male,370,NA,69.86,NA,290,NA,54.75,NA
2013,All of Scotland,0-17,Female,520,NA,102.92,NA,380,NA,75.21,NA
2013,All of Scotland,18-24,Male,1180,NA,470.29,NA,850,NA,338.77,NA
2013,All of Scotland,18-24,Female,1010,NA,404.3,NA,670,NA,268.2,NA
2013,All of Scotland,25-39,Male,4720,NA,953.13,NA,2940,NA,593.68,NA
2013,All of Scotland,25-39,Female,3030,NA,592.17,NA,1880,NA,367.42,NA
2013,All of Scotland,40-64,Male,8780,NA,980.32,NA,5420,NA,605.16,NA
2013,All of Scotland,40-64,Female,5910,NA,626.97,NA,3720,NA,394.64,NA
2013,All of Scotland,65+,Male,5350,NA,1288.33,NA,3290,NA,792.26,NA
2013,All of Scotland,65+,Female,6760,NA,1271.56,NA,4040,NA,759.93,NA
2014,All of Scotland,0-17,Male,350,NA,66.27,NA,280,NA,53.01,NA
2014,All of Scotland,0-17,Female,530,NA,105.05,NA,380,NA,75.32,NA
2014,All of Scotland,18-24,Male,1170,NA,469.73,NA,810,NA,325.2,NA
2014,All of Scotland,18-24,Female,1060,NA,428.26,NA,670,NA,270.7,NA
2014,All of Scotland,25-39,Male,4950,NA,990.79,NA,2930,NA,586.47,NA
2014,All of Scotland,25-39,Female,2970,NA,574.92,NA,1810,NA,350.37,NA
2014,All of Scotland,40-64,Male,9090,NA,1018.24,NA,5240,NA,586.97,NA
2014,All of Scotland,40-64,Female,5960,NA,633.4,NA,3590,NA,381.53,NA
2014,All of Scotland,65+,Male,5850,NA,1370.1,NA,3360,NA,786.93,NA
2014,All of Scotland,65+,Female,7530,NA,1390.65,NA,4290,NA,792.28,NA
2015,All of Scotland,0-17,Male,420,NA,79.63,NA,330,NA,62.57,NA
2015,All of Scotland,0-17,Female,520,NA,103.24,NA,370,NA,73.46,NA
2015,All of Scotland,18-24,Male,1330,NA,534.49,NA,900,NA,361.68,NA
2015,All of Scotland,18-24,Female,1060,NA,428.47,NA,680,NA,274.87,NA
2015,All of Scotland,25-39,Male,5020,NA,987.69,NA,2960,NA,582.38,NA
2015,All of Scotland,25-39,Female,3110,NA,593.89,NA,1850,NA,353.28,NA
2015,All of Scotland,40-64,Male,9870,NA,1108.66,NA,5420,NA,608.81,NA
